sentimen,Tweet
0,Semoga saja turun hujan soalnya udaranya sudah tidak sehat lagi
1,"Deputi Bidang Pendanaan dan Investasi OIKN Agung Wicaksono menyatakan bahwa IKN berkomitmen menjadi kota rendah emisi karbon. Hal itu dibuktikan dengan rencana penyediaan layanan transportasi umum berbasis listrik
Karni Ilyas Opung Blasteran psikopat KPAI"
0,IMO emisi karbon lebih banyak kalau kita pergi ke resto karena perkapita lebih tinggi due to parking tambahan trip jika mampir  dan jenis kendaraan yang dipakai kemungkinan emit polusi lebih tinggi.
-1,memangnyatanya kebanyakan tidak higienis kok. Masaknya di tempat terbuka panjangnya juga terbuka kena2 udara bercampur debu dan asap kendaraan. Dan memangtidak sehat coba sekali2 tanya minyaknya diganti tiap berapa kali. Di negeri tidak diajarin kah untuk jangan jajan sembarangan?
0,Kabut Asap Masih Selimuti Pekanbaru Sudah Pukul 09.00 Pengendara Masih Hidupkan Lampu Kendaraan
-1,"Kalau kata petinggi & pejabat negeri konoha dan wakanda ini karena asap kendaraan bermotor solusi ganti kendaraan listrik…
Cuan sudah ini bisnis baterai & kendaraan listrik & lahan basah masuk persenan ke kantong walaupun di daerah sana kebakaran…"
-1,bau asap kendaraan tuh memangbikin mual ya?? ‍‍‍‍
0,karena malam jarang kendaraan lewat ya. Siang si asap terbang2 kena kendaraan. Semoga segera hujan ya
0,Pas pagi hari suasana dingin menyejukan dan terhindar dari asap kendaraan. Enak banget
-1,"Ya Allah… Semoga musibah itu segera berakhir dan semua orang di lokasi² terdampak tetap sehat. Aamiin…
Saya ada bau asap (rokok/bakar sampah/kendaraan) sedikit saja sudah tidak betah apalagi kalau asapnya sampai separah itu???"
1,Aku lari jam segitu sebenernya buat ngehindarin asap kendaraan juga
-1,bumi kita krisis pohon  selain itu banyaknya limbah tercemar  sampah dimana2 sampai menumpuk  asap kendaraan  asap dari pabrik2 dll. Sedih banget
-1,gue sama temen-temen gue (mereka gen z gue nyaris gen z) 3 bulan kerja di lapangan (di jalan raya penuh debu asap panas2an ngatur kendaraan) tanpa libur 3 bulan akhirnya ambruk semua tipes berjamaah
1,"Manifesting kerja di Jakarta biar bisa naik MRT Tj  gowes sepeda jalan kaki wkwk
Ya Allah CEPAT DIKABULKAN BIAR AKU LEBIH SEHAT DAN TIDAK MENAMBAH ASAP KENDARAAN AYO CEPAT CEPAAATTT"
-1,Selama beberapa tahun terakhir beberapa studi telah mengidentifikasi kaitan antara peningkatan level polusi udara dengan risiko bunuh diri. Para peneliti menduga bahwa polusi udara dapat mempermudah perilaku depresi dan impulsif
-1,"Tidak ada tetangga bakar sampah tidak dekat pabrik dan sumber polusi lain udara segar sejuk sepanjang hari sirkulasi rumah terencana gangguan hanya sedikit hama (yang bisa ditangkap dengan jaring di jendela)
Kian hari kian sulit"
-1,Heey Kenyataannya Asthma tu allergic tidak bisa sepenuhnya sembuh tapi bisa dirasakan gejalanya dan dihindari kambuhnya. Sekarang lagi struggle sama panas humidity dan polusi Jakarta yang gila Sehat-sehat ya kamu. Salam pelahap sekebon binatang!
-1,"Akhir-akhir ini polusi lagi makin parah banget ya tidak sih? yang pulang kerja naik angkot berasa banget kan wajah jadi kusam dan kotor?
Enaknya pulang kerja abis mandi langsung maskeran! tidak cuman wsajah jadi bersih tapi ngurangin stress juga akibat tua di jalan"
0,bisa jadi masih ada kabut tiap pagi mbak Kalau kayak gini siang2 memangpolusi tapi bisa dari dulu tiap pagi most of time masih sering berkabut
-1,Di tempat gue ini panasnya nyengat bangettt keluar benanti langsung gosong. Kalo di Jakarta mataharinya ketutup ama polusi ehehe
-1,"Males keluar karena polusi dan macet. Pesan online lihat harga dinaikkan dulu juga (selain PHR dan service charge).
Emisi karbon banyakan mana antara pergi ke resto atau pesan online ya?"
0,Asap polusi atau asap apa? Kok mendadak setebal itu?
1,Alhamdulillah akhirnya hujan turun dengan derasnya semoga kabut asap segera hilang
0,kalau di Jakarta asap kendaraan bermotor ya mbak kalau di Kalimantan asap efek karhutla makanya bersyukur banget sudah turun hujan
1,berarti ibu kota bisa tuh ditanami jagung sepanjang jalan biar udaranya bersih dari polusi.
0,Kalimantan kl tidak ada hujan lama karhutla melandaasap dimana2makanya bersyukur banget udah hujan
-1,"tidak keluar rumah -> depresi -> cepet mati
keluar rumah -> inhale polusi -> cepet mati"
-1,"Masih bangga pake kendaraan listrik?
Tai lah lo semua yang teriak demi kualitas lingkungan yang lebih baik tuh liat kerusakan lingkungan yang ditimbulkan dari tambang nikel & asap dari PLTU."
-1,Tolol jawaban manusia tolol kayak gni ni Dh d omngi untuk tolong asap tu kena anak kecil tu lo njing lo mau ngerokok 1 slop sampai mati juga gak masalah asal asapnya gak kena anak kecil ni wlh ngejawab asapa mobil Mengenai umat manusiabodoh
-1,"Kata ibu ""mbak mataharinya merah banget gara² kabut asap. Kaya yang di film-film hati² bawa motornya"" di kota gue memangkalo subuh sampai pagi jam 8an kabutnya super tebal jadi bikin was was kalo lagi kendaraan"
-1,Tinggal di pku kena kabut asap tinggal di Jakarta kena asap kendaraan sama pabrik ni paru2 kayaknya udah kebal diasapin mulu
-1,Karena asapnya? Lalu bagaimana asap kendaraan mobilmu yang kau pakai setiap hari mengotori udara di setiap tempat yang kau lewati? Mencemari udara bertahun tahun setiap hari dan Minggu? Bulan dan Tahun? Menghancurkan iklim dunia dan merugikan umat manusia? Just ask
-1,jabodetabek polusi karena pltu dan kendaraan pada koar koar protes udara jelek blablabla. kalimantan dan sumatera SAMPAI KABUT ASAP KARENA KEBAKARAN HUTAN MALAH DIBECANDAIN dasar jabodetabek sentris si paling pusat.
-1,Lagi di Karantina Bangada yang terindikasi kena Batuk Pilek kena Polusi asap kendaraan
-1,ga pernah mau makan dipinggir jalan ga bisa kena asap rokok/asap kendaraan introvert lebih suka dirumah sekalinya keluar rumah paling ke mall abis itu pulang.
-1,Padahal kebakaran gt pny side effects juga Kak selain menyebabkan penyakit Infeksi Saluran asap n emisi gas karbon yang terbang ke udara juga mempengaruhi pemanasan global dan perubahan iklim. asap rokok/kendaraan saja aku ga kuat bikin sesak.
-1,kalian tau di jalan tuh kalo tebal banget asap nya cuma bisa kelihatan lampu kendaraan doang nangis banget. di rumah pun yang jauh dari kota bakal tetep sampai abu” kebakaran nya tau. tiap jam harus menyapu rumah mulu
1,Mari jadikan energi terbarukan sebagai sumber utama kita untuk mengurangi emisi karbon. Pak Prabowo
-1,"Pake Cat pake kayu/bambu pake film pake video/kamera pake HP pake listrik  ke luar negeri pake pesawat
Aduh mas Walhi semuanya ada jejak emisi karbon/gas rumah kacanya."
-1,Kondisi udara di Kota Banjarmasin terasa makin mengkhawatirkan. Dalam sebuah rekaman video yang diambil di Lok Baintan Banjarmasin Kalimantan Selatan langit tampak berwarna oranye imbas karhutla
0,Kalau saudara aku yang tinggal di Cilebut Bogor tidak memerlukan AC karena lingkungan di sekitarnya memangsudah dingin apalagi kalau di malam hari. Cukup pakai kipas angin saja untuk meratakan suhu kamar.
0,Serius nanya memangsurabaya sepolusi itu? Ini cerah banget loh
-1,tolong yang komen kok asap tidak diklaim artinya kamu itu tidak peduli sama seberapa serius kebakaran yang terjadi di kalimantan dan sumatera
-1,aku sempat tinggal di palembang 6 tahun yang lalu. dan memangtiap tahun kayak gitu :( lekas membaik kota” yang penuh dengan asap. ngerasain banget sesak nya bernapas tiap hari pake masker tiap hari sampai double dan ga kaget ps covid malah disuruh pake masker
-1,Heee iya sebenarnya mau pake masker tapi kadang panas juga jadi bingung. Kuat kuat ya tiap keluar kena polusi. :(
-1,Kedatangan ribuan burung yang bermigrasi disambut dengan kabut asap kebakaran hutan dan polusi udara. Bukan cuma dadamu yang sesak burung pun juga sama. Habitat hilang sumber makanan pun melayang.
-1,sumpahhh??? mereka abis ke Jakarta kan?? gue liat di comment sm rep nya sm qrts nya gara-gara polusi Jakarta?? udara Jakarta… memanglagi gila banget sih polusi udara Jakarta sumpah
-1,"KUALITAS UDARA MASIH BURUK
Polusi udara yang tinggi bisa mengancam kesehatan kita termasuk kesehatan paru-paru. Lakukan 5 hal ini untuk jaga kesehatan parumu!"
-1,Polusi udara juga menyerang kulit: Bisa bikin jerawatan dan masalah kulit lainnya! Faktanya ada peningkatan 55% konsultasi masalah kulit di Jabodetabek dari bulan Juni - Agustus 2023.
-1,Masih belum kelar polusi
0,"Anak-anak khususnya batita dan balita adalah salah satu kelompok yang paling rentan terserang efek negatif polusi Kok bisa? Ini alasannya - Memiliki sistem pernapasan yang masih rentan
- Berpotensi terpapar lebih lama di lingkungan yang terkontaminasi"
0,"BAHAYA POLUSI PADA ANAK - Meningkatkan risiko terjadinya infeksi saluran pernapasan seperti ISPA dan pneumonia
- Rentan mengalami gangguan tumbuh kembang"
1,"Terus apa yang harus dilakuin buat mencegah dampaknya? Cek kualitas udara dengan aplikasi pemantau kualitas udara
sajak anak pake masker
Batasi aktivitas di luar ruangan
Tutup ventilasi ️ Pake penjernih udara
Konsumsi vitamin buat jaga daya tahan tubuh"
1,"Kalo terjadi gejala gangguan pernapasan pada anak segera konsultasi dengan dokter buat dapetin solusi yang tepat ya!
Oh ya mumpung lagi ada promo Mom & Kids Fest moms bisa chat dokter dan stok persediaan vitamin anak di Halodoc biar makin hemat"
-1,WASPADA UDARA MASIH MEMBURUK! Tahukah moms bahwa anak menjadi salah satu kelompok yang paling rentan merasakan dampak negatif polusi udara? Hati-hati ini bahaya polusi udara pada anak ‼️
1,PAKE MASKER SAAT KELUAR RUMAH Polusi udara meningkat dan kualitas udara makin memburuk Jadi penting banget nih untuk selalu pake masker saat bepergian keluar rumah. Oh ya supaya terhindar dari dampak buruk polusi pake masker kesehatan sekali pakai ya!
1,"MEMELIHARA TANAMAN PEMURNI UDARA Kamu bisa nih pelihara tanaman di area indoor untuk memperbaiki sirkulasi udara. Beberapa jenis tanaman yang bisa dipelihara: - Hedera
- dariacaena
- Aloe Vera
- Palem Kuning"
1,PAKE AIR PURIFIER Air purifier bisa membersihkan udara di dalam ruangan karena berfungsi buat menangkal gas kimia berbahaya bahkan menyaring virus dan bakteri yang ada di udara lho!
-1,BATASI AKTIVITAS DAN POLUSI DI LUAR RUANGAN Paparan polusi udara itu bisa meningkatkan risiko penyakit paru. Jadi sebisa mungkin pastikan kamu tidak keluar ruangan saat polusi sedang dalam tingkat tertinggi ya!
-1,INGAT! Polusi udara membuat kita harus lebih waspada buat jaga kesehatan. Biar lebih TenangMenjaga diri dan keluarga di tengah polusi udara yuk konsultasi seputar kesehatan paru dengan dokter di Halodoc pake kode NAPASLEGA biar makin hemat
1,Berbagai upaya dalam menekan emisi karbon telah dilakukan oleh Pemerintah tak terkecuali industri hulu migas yang turut berkontribusi untuk mencapai target Net Zero Emission di 2060. Industri Hulu Migas akan mengedepankan kegiatan operasional yang ramah lingkungan sebagai
1,Transisi energi adalah langkah penting dalam mengurangi emisi karbon. PLNIP Dekarbonisasi
1,"Perdagangan Karbon
Perdagangan karbon berawal dari Protokol Kyoto sebuah perjanjian PBB yang menetapkan tujuan pengurangan emisi karbon global dan mitigasi perubahan iklim mulai tahun 2005. 
Setiap sen yang dihasilkan semua melalui proses produksi semenjak revolusi industri."
0,Pendukung perdagangan karbon berpendapat bahwa ini adalah solusi parsial yang hemat biaya untuk masalah perubahan iklim dan mendorong adopsi teknologi inovatif. Namun perdagangan emisi karbon telah banyak dikritik. Kadang-kadang dilihat sebagai pengalih perhatian dan setengah2
1,"Tuanku Ya Rakyat
Ganjar bertekad mengurangi emisi karbon mencetak talenta untuk inovasi serta mendorong ekonomi hijau dan ekonomi biru."
1,Sebagai upaya penurunan emisi gas rumah kaca Presiden Joko Widodo meresmikan perdagangan bursa karbon Indonesia atau IDX Carbon Exchange (IDX Carbon) pada 26 September 2023 lalu. Selengkapnya
1,PLN Dekarbonisasi telah mengambil langkah-langkah konkrit untuk mengurangi emisi karbon melalui investasi energi bersih.
1,Ganjar mempunyai visi-misi untuk memulihkan kondisi alam Indonesia yakni mengurangi emisi karbon mencetak talenta untuk inovasi serta mendorong ekonomi hijau dan ekonomi biru.
1,penerapan Carbon Solutions. Maka dari itu penerapan teknologi canggih ramah lingkungan seperti Carbon Capture Storage (CCS) dan Carbon Capture Utilization and Storage (CCUS) menjadi komitmen yang akan kami gaungkan dalam mengurangi jejak emisi karbon.
-1,Ya kan… tapi kl iya bener sih polusinya tidak main main
-1,Di periode yang sama kualitas udara di Jabodetabek terpantau tidak sehat untuk kelompok sensitif selama 3 bulan berturut-turut Saatnya jaga kesehatan kulit dan kurangi efek negatif paparan polusi udara dengan 5 langkah SEHAT yuk!
-1,"Pertanyannya mereka buat monster itu dari bahan apa?
Mereka demo seperti itu menggunakan kertas dari apa
Kadang kadang lembaga hanya sebagai kedok mengumpulkan sponsor untuk mendanai aksinya
Apa mereka bisa zero emisi???hadeh
Perusak yang berkoar kerusakan"
-1,woah polusi memanglagi parah banget ya
-1,"Utas penting polusi udara karhutla Kalimantan dan Sumatera
Degradasi lahan gambut akibat deforestasi bikin rawan karhutla. Kebakaran di sejumlah titik mengirimkan polusi besar
Polusinya lintas batas sampai Malaysia dan Singapura"
-1,di jakarta bener bener deh polusinya ga tertolong
-1,Pantes agak bagaimana ini wajah. Faktor polusi rupanya
-1,Temanku ada yang gara gara polusi bisa jadi jerawatan
0,"Aku mencari2 twit sebelum ini. karena dokter_kampung sangat hati2 menulisnya dengan pertanyan dan clue yang membuat kita berpikir lalu menyimpulkan.
Asap kendaraan atau asap pabrik tidak significant mempengaruhi (mungkin konstan) kecuali hari minggu atau libur dan udara terik. sekarang musim hujan"
-1,Hidung lwn mata sakit dapatnya. Ditambah asap kendaraan pulang mantap lalu
-1,aduh jadi inget tiap balik school lewat dinya muka auto diterjang angin asap kendaraan beserta debu2 jalanan nika tiung dijadikan masker
0,Solusinya bukan kendaraan EV yaaa…tapi ganti pembangkit batubara pembangkit minyak bakar dan relokasi semua industri yang menimbulkan asap/ polusi dan kurang 50% kendaraan yang di jalan maka polusi teratasi macet pun akan berkurang tapi apa berani?
1,Momen langka udara Jakarta bersih dari asap kendaraan menjelang lebaran :))
0,"Selamat pagi dunia tipu tipu
terimakasih cerobong asap yang sudah mewakili 1000 kendaraan bermesin di jalan pagi hari ini"
-1,"Bukan Pulau Jawa jadi tidak masuk prioritas 'kepedulian'
Prioritasnya asap 'polusi kendaraan dan pabrik' bukan asap 'kebakaran hutan'"
-1,Lagi tour pindah pindah negara mungkin kondisinya lagi tidak bener2 fit. Ditambah Jakarta lagi musim kemarau dan polusinya parahrentan kena penyakit. Di Indonesia saja lagi banyak yang sakit batuk pilekdemam radang tenggorokan.tiap rumah ada saja salah satu yang lagi sakit semoga para member le sserafim cepet sembuh ya
-1,tolongs tidak nyambung kalau ada yang kaitin musibah sma saling klaim budaya itu tidak lucu coba yang koar2 ini tinggal di kalimantan/sumatera biar rasain sendiri tuh hirup asapnya
0,Aamiin dan terima kasih maaf jika ada salah kata dari beberapa saudara kami kepada rakyat malaysia semoga kabut asap yang melanda kalimantan sumatera dan sampai ke malaysia bisa mereda secepatnya
-1,waduh polusi di jakarta memangparah banget ya apalagi sekarang musim kemarau jadi nya makin parah polusi nya. mau pake masker juga tidak mungkin kan nyanyi dan dance pasti pengap kalo pake masker. semoga lekas sembuh 3 member le ssera dan 2 member lagi semoga tetap sehat.
-1,Seandainya Malaysia tidak mengeluhkan kabut asap kita yang tinggal di Pulau Jawa mungkin tidak tahu/peduli seberapa parah kebakaran hutan dan lahan yang saat ini terjadi di Pulau Kalimantan & Sumatera Merujuk pada Dirjen Departemen lingkungan Hidup Malaysia citra satelit menunjukkan ada 52 titik api kebakaran hutan di Sumatera & 264 titik kebakaran hutan di Kalimantan Kabut asap ini bukan hanya dirasakan oleh penduduk Malaysia tapi juga diderita saudara2 kita di Sumatera & Kalimantan
-1,apa dia ga peduli dampaknya ya? asap karhutla kan bisa bikin sesak napas + kena ISPA
1,"untuk memecahkan masalah pemanasan global yang besar dan mendesak.
Di bawah perjanjian baru mereka yang menciptakan kredit karbon akan mendepositokan 5% dari hasil yang dihasilkan ke dalam dana untuk membantu negara-negara berkembang mengatasi perubahan iklim."
-1,Jujur asapnya mengganggu banget loh buka pintu pagi bau asap bukan udara segar kalau bawa motor mata pedih awas saja kalau ujung-ujungnya minta maaf kelihatan capernya ini
-1,"Aku yang tinggal di sumatera bener2 merasakan dampak kabut asap ini
Tenggorokan jadi tidak enak banget bau asap terlihat mendung tapi panas banget dan dilangitu tuh kabut semua
untung sudah nyetok masker yang banyak"
1,seperti sistem penangkapan karbon mekanis dan penanaman hutan—yang semuanya akan membantu mengurangi tingkat karbon di atmosfer.
0,tetapi pakai masker walau tidak covid semoga udaranya cepat membaik ya
1,Semoga hujan segera turun biar kabut asap segera reda dan berkurang.
0,Kelihatannya belum ada tanda2 kabut asap bakal segera hilang ya?
-1,bukan covid lagi tapi polusi udara rasanya keluar tidak pake masker ada yang kurang. Apalagi naik motor depannya truk dengan asap knalpot ireng makin bahaya lagi buat pernapasan
0,kasian banget culture shock sama polusi jakarta
-1,Udara diluar makin parah banget
1,ayang aku udah pada pulang semoga sehat selamat ya sampai di sokor jangan lupa suntuk vitamin sama vaksin ya soalnya di jakarta udaranya lagi polusi parah takut kalian kenapa2
0,Hai JTzen PLN akan segera menjadi pemain besar dalam perdagangan karbon di Bursa Karbon Indonesia (IDXCarbon) membuka setara hampir 1 juta ton CO2 dan mendukung upaya pemerintah untuk mengurangi emisi dan mempercepat transisi energi.
-1,Giliran jakarta kena polusi saja baru mereka serius
-1,memang polusi jakarta udah parah banget
1,Semoga lekas terkendali dan udara bersih seperti sediakala.
0,"Waktu SD sampai SMP aku pernah diajarin soal efek rumah kaca dan barang-barang elektronik kayak kulkas / AC yang ikut andil dalam sebab pemanasan global (benerin kalau salah soalnya aku juga lupa-lupa ingat )
Ini termasuk 'campur tangan' juga ga ka?"
-1,makasih mindoc mulai sekarang kalau ga penting2 banget mau mengurangi waktu keluar rumah polusinya ga banget
-1,aduh polusi udara jabodetabek makin parah ya min
-1,Parah sekali asapnya
-1,yang dipikirkan saat musim hujan tiba masalah kabut asap berganti dengan banjir
-1,nanti kalo asap nya sudah sampai jawa baru pada koar² dan masuk berita nasional
-1,Kelihatannya orang2 seneng asapnya sampai ke Malaysia lha kalo asapnya sampai ke sana gimana yang dekat dengan lokasi kebakaran hutan?
-1,Kalian yang komen minta kabut asap klaim sekalian niatnya mau becanda apa gimana? Mentang-mentang ngga ngerasain
1,"“Prinsip penting dari Protokol Kyoto adalah bahwa negara-negara industri perlu mengurangi jumlah emisi CO2 mereka”.
&
“Program energi cap-and-trade dimaksudkan untuk mengurangi polusi secara bertahap memberikan insentif pada perusahaan untuk berinvestasi energi alternatif bersih”"
-1,asli disini di pontianak sudah bukan asap lagi sudah debu2 putih sisa bakaran berterbangan
-1,Ini benar. agak janggal juga ko masalah asap yang krusial gini ga terlalu disorot media nasional . Ya kalo ga di media Malaysia apa bakal di notice di Kalimantan & Sumatera sudah darurat banget kabut asap :) ?
-1,maaf kak oot aku orang malay dan mau tau saja pas baca komen kakak kebakaran hutan ini engga disorot sm media disana kah? i mean kebakaran hutan yang kabut nya sampai lintas negri ke sini tuh aku jangka pasti parah banget ya
1,Tantangan terletak efisiensi produksi yang mengejar pertumbuhan penghasil emisi CO2. Apakah carbon trade efektif terhadap perbaikan iklim atau hanya beban cost produksi baru terhadap negara berkembang???
1,"Selain itu 2% kredit akan dibatalkan untuk memastikan pengurangan emisi secara keseluruhan.
Para pendukung kerangka tersebut mengatakan bahwa hal itu menciptakan insentif keuangan bagi negara dan perusahaan untuk menciptakan teknologi dan inisiatif pengurangan emisi"
-1,tolongs sumatera panas mana kabut asap bikin perih mataa
-1,Saat ini polusi udara menjadi perhatian bagi semua elemen masyarakat. Pencemaran udara dari asap pabrik dan kendaraan bermotor adalah salah 2-nya. Dengan masalah yang harus dihadapi bersama ini.
-1,terpapar asap rokok panitia yang ngebul 24 jam kecuali pas minum air dan makan terpapar asap kendaraan bermotor siang hari di sby angin malam pulang dari acara pake segala salah jalan lagi. jadi batuk dan agak susah napas.
-1,Penduduk mereka yang buka lahan buat sawit mereka yang mengambil oksigen gratisan dari hutan kita giliran kena asap ngamuk. faktanya mereka pelakunya tapi salahin indo
-1,kamu sumatera mana nderr?? soalnya kalo di jambi mulai besok seluruh sekolah sudah mulai diliburkan selama 3 hari gara2 kabut asap ini karena makin parah daerahmu sudah diliburkan belum nderr??
1,Jika ingin kurangi polusi tugasi Presiden untuk terapkan Jeda Kendaraan ber-BBM setiap hari Jumat-Sabtu-Minggu tugasi Komut dan Dirut Pertamina tingkatkan bauran Biodiesel B40 & Bioetanol B15 di semua SPBU tugas Gubernur upayakan RTH minimal 30% & terapkan Cukai Asap Knalpot.
1,jalur khusus sepeda yang dibangun Anies bersihkan kota jakarta dari asap kendaraan bermotor
0,molen kedua dengan tidak mengurangi asap kendaraan. rumah tetangga paling tinggi sendiri yang bisa keliatan di seberang sawah dari dukuh lain.
-1,gue yang sebelumnya keluar cuma ke sekolah atau warung paling sering tuh ngupil 3 kali dalam seminggu sekarang gue ngupil tiap hari banget sumpah gara² tiap hari naik motor 22km dan melewati pabrik²+asap kendaraan
-1,SG saja kena dampaknya kabut tebal banget siang hari saja matahari ketutupan kabut udah seminggu lebih gua batuk ga sembuh sembuh sebab udara kotor
-1,lah kabut ternyata yang dari tadi pagi kulihat kirain memangmendung
-1,asli. ada yang bilang azab karena suka claim lah yang tinggal di sumatera/kalimantan kena azab apa? mentang-mentang yang protes malaysia kabut asapnya seolah tidak valid.
0,ya jelas kayak rumput karena matcha dari teh kecuali kalo matcha dari batubara ato BBM pasti rasanya kayak asap kendaraan.
1,Guna mengurangi pencemaran udara di wilayah Kabupaten Tangerang Pemkab Tangerang melaksanakan uji emisi secara gratis untuk kendaraan Aparatur Sipil Negara (ASN) di Puspemkab Tangerang Rabu (27/09/23). Pengujian ini dilakukan setidaknya 5-7 menit dan kandungan zat pada asap
-1,Sama kak aku juga sudah indikasi ispa semoga asap cepat hilang sesak banget
-1,Bau asap pod rokok bakar” kendaraan apalagi truk bisa langsung batuk lemah asap
-1,Belum lagi ditambah banyak nya asap knalpot dari kendaraan entah karena ga ganti oli atau apalah itu. Dan satu ini anak jin ngerokok sambil berkendara. Kebayang kan asap knalpot asap rokok asap pembakaran menjadi satu. jadi penyakit apa itu nantinya .
-1,34° tapi keliatannya adem mendung begini anjir setebel apa asapnya :) apa nggak sesek atau perih di mata warga sekitar ya
1,Ya allah alhamdulillah hujan meskipun cm sebentar alhamdulillah banget semoga bisa turut memadamkan kebakaran disana itu bikin polusi udara soalnya kasiann
-1,kalau menurutku bagi orang² yang badan nya rentan bisa langsung sakit kak kena polusi jakarta tapi bagi orang2 yang badan nya tidak rentan apalagi sudah terbiasa tinggal di jakarta ya aman aman saja ditambah mereka kn pasti capek kesana kemari beda cuaca juga
-1,udahnya hot ditambah polusi. duhhh
-1,tolongs kalo bawa motor mata perihh banget anjrrkalsel berkabut
-1,Tidur saja sesek banget asap padahal air purifier udah max power
-1,sama mbak. aku juga pagi2 buka jendela niatnya mau hirup udara segar. malah bau asap.
-1,Di daerah Hulu Sungai kalau malam yang rata² pintu dan jendela sudah tertutup rapat asap masuk ke dalam rumah.
-1,Eh iya aku juga sama pas ke surabaya sowan ke rumah saudara ebuset ah kayaknya matahari di sana ada 7 deh saking panasnya
0,"Aku sudah terapkan ini sejak 2014 mandi cukup sehari sekali tapi berkualitas.
Selebihnya tetap bersihkan area yang kotor seperti muka mulut tangan dan kaki tanpa perlu mandi lagi.
Kecuali bila terkena keringat setelah olahraga ditambah polusi parah dari luar."
0,kalo udah tau sering/akan karhutla ga usah lah pilih rt/rw/camat/walikota/gubernur ga guna merekanya enak dapet gaji dari rakyat
-1,evakuasi kemana bang semua tempat berasap
-1,"Asli anjir dikira kabut itu main2 apa ya?
Gatau saja dulu perkara kabut juga anak kecil sampai banyak yang meninggal ispa dimana2 jalanan pun ga keliatan. Pengen ku tonjok satu2 dadanya"
